"","n_versions","n_fixes","n_refact","n_authors","lines_added","max_lin_add","avg_lin_add","lines_rem","max_lin_rem","avg_lin_rem","code_churn","max_code_churn","avg_code_churn","age","weighted_age","class"
"41",32,1,0,4,413,92,129.062,122,26,38.125,291,80,909.375,175.714,249.862,"NO_BUG"
"42",58,11,0,7,1851,721,319.138,1730,721,298.276,121,77,208.621,367,493.741,"NO_BUG"
"43",86,11,0,8,1629,335,189.419,1535,335,178.488,94,65,109.302,367,764.774,"NO_BUG"
"44",2,1,0,2,1,1,0.5,1,1,0.5,0,0,0,165.714,135.714,"NO_BUG"
"45",24,5,0,4,167,70,695.833,174,70,7.25,-7,8,-0.291667,367,663.601,"NO_BUG"
"46",11,4,0,6,21,4,190.909,17,4,154.545,4,3,0.363636,282,827.755,"NO_BUG"
"47",7,2,0,2,139,75,198.571,28,13,4,111,63,158.571,914.286,158.068,"NO_BUG"
"48",10,3,0,6,16,5,1.6,28,18,2.8,-12,5,-1.2,271,864.107,"NO_BUG"
"49",7,6,0,1,12,4,171.429,10,4,142.857,2,2,0.285714,168.857,933.452,"NO_BUG"
"50",18,9,1,6,211,84,117.222,53,14,294.444,158,84,877.778,222.714,216.087,"NO_BUG"
"51",224,16,0,12,6579,1041,293.705,5717,1041,255.223,862,146,384.821,367,115.991,"BUG"
"52",10,2,0,2,86,60,8.6,62,51,6.2,24,9,2.4,105,223.239,"NO_BUG"
"53",12,3,0,5,233,165,194.167,78,34,6.5,155,131,129.167,184.714,788.087,"NO_BUG"
"54",15,4,0,5,121,69,806.667,119,69,793.333,2,6,0.133333,367,689.906,"NO_BUG"
"55",27,5,0,5,152,42,562.963,182,32,674.074,-30,41,-111.111,367,624.445,"NO_BUG"
"56",73,16,0,8,2096,439,287.123,1160,439,158.904,936,282,128.219,333.143,840.883,"NO_BUG"
"57",50,6,0,8,574,115,11.48,707,115,14.14,-133,14,-2.66,367,119.907,"BUG"
"58",26,6,0,6,112,54,430.769,89,54,342.308,23,7,0.884615,355.714,798.367,"NO_BUG"
"59",60,3,0,7,986,170,164.333,1102,170,183.667,-116,35,-193.333,367,741.623,"BUG"
"60",3,0,0,1,149,149,496.667,149,149,496.667,0,149,0,60,128.571,"NO_BUG"
"61",14,4,0,5,53,9,378.571,61,9,435.714,-8,0,-0.571429,322.714,689.003,"NO_BUG"
"62",37,6,0,6,177,65,478.378,167,65,451.351,10,11,0.27027,367,820.153,"NO_BUG"
"63",16,2,0,4,151,30,94.375,109,31,68.125,42,19,2.625,169.143,468.515,"NO_BUG"
"64",110,7,0,9,1350,176,122.727,1190,176,108.182,160,30,145.455,367,923.705,"NO_BUG"
"65",31,2,0,6,571,152,184.194,578,152,186.452,-7,6,-0.225806,367,615.161,"NO_BUG"
"66",10,4,0,3,29,9,2.9,30,10,3,-1,0,-0.1,322.714,509.852,"NO_BUG"
"67",84,31,0,8,2092,395,249.048,1163,62,138.452,929,395,110.595,223.429,469.666,"BUG"
"68",14,4,0,4,279,92,199.286,43,10,307.143,236,88,168.571,224.857,869.329,"NO_BUG"
"69",61,13,0,8,667,241,109.344,705,241,115.574,-38,5,-0.622951,367,796.989,"BUG"
"70",36,3,0,5,842,188,233.889,593,97,164.722,249,123,691.667,367,157.823,"NO_BUG"
"71",13,2,0,4,74,29,569.231,50,29,384.615,24,29,184.615,139.714,13.749,"NO_BUG"
"72",50,6,0,8,271,42,5.42,217,42,4.34,54,27,1.08,367,128.633,"NO_BUG"
"73",49,4,0,7,405,136,826.531,338,136,689.796,67,17,136.735,367,104.855,"NO_BUG"
"74",28,6,0,7,407,225,145.357,365,225,130.357,42,32,1.5,329,741.846,"BUG"
"75",74,8,0,8,1181,247,159.595,1310,247,177.027,-129,33,-174.324,367,749.741,"BUG"
"76",9,4,0,4,17,4,188.889,21,6,233.333,-4,0,-0.444444,256.571,483.193,"NO_BUG"
"77",6,3,0,3,148,71,246.667,6,4,1,142,71,236.667,222.857,10.582,"NO_BUG"
"78",34,12,0,7,316,123,929.412,181,123,532.353,135,60,397.059,333.143,709.878,"NO_BUG"
"79",13,4,0,7,52,17,4,7,4,0.538462,45,17,346.154,226.571,292.555,"NO_BUG"
"80",11,4,0,5,18,5,163.636,21,5,190.909,-3,0,-0.272727,319.714,891.905,"NO_BUG"
"81",44,9,0,6,292,61,663.636,271,61,615.909,21,16,0.477273,367,782.143,"NO_BUG"
"82",41,5,0,8,535,87,130.488,363,87,885.366,172,41,419.512,329,802.275,"NO_BUG"
"83",18,5,0,4,134,64,744.444,136,64,755.556,-2,5,-0.111111,367,538.454,"NO_BUG"
"84",52,10,0,7,355,130,682.692,355,130,682.692,0,10,0,367,511.952,"NO_BUG"
"85",24,7,0,7,267,108,11.125,124,44,516.667,143,64,595.833,278.571,145.973,"BUG"
"86",9,3,0,5,12,4,133.333,11,4,122.222,1,1,0.111111,236,611.071,"NO_BUG"
"87",42,3,0,6,254,53,604.762,255,53,607.143,-1,5,-0.0238095,367,849.809,"NO_BUG"
"88",19,6,0,5,101,37,531.579,22,4,115.789,79,37,415.789,229.714,16.587,"NO_BUG"
"89",17,3,0,6,80,15,470.588,37,6,217.647,43,9,252.941,239.143,495.089,"NO_BUG"
"90",19,6,0,5,70,23,368.421,89,23,468.421,-19,11,-1,270.143,145.004,"NO_BUG"
"91",7,0,0,1,94,34,134.286,73,26,104.286,21,11,3,957.143,371.581,"NO_BUG"
"92",39,14,0,8,431,164,110.513,258,164,661.538,173,74,44.359,333.143,723.752,"NO_BUG"
"93",22,4,0,8,105,23,477.273,66,23,3,39,19,177.273,248.571,692.898,"BUG"
"94",84,8,0,8,919,251,109.405,803,251,955.952,116,18,138.095,367,875.335,"NO_BUG"
"95",132,8,0,8,2132,535,161.515,2129,535,161.288,3,39,0.0227273,367,744.663,"NO_BUG"
"96",8,4,0,4,12,4,1.5,10,4,1.25,2,1,0.25,228.143,402.857,"BUG"
"97",5,2,0,2,144,82,28.8,1,1,0.2,143,82,28.6,228.857,590.307,"NO_BUG"
"98",45,15,0,7,813,187,180.667,414,187,9.2,399,93,886.667,333.143,984.973,"NO_BUG"
"99",28,4,0,5,265,76,946.429,256,76,914.286,9,6,0.321429,367,524.016,"NO_BUG"
"100",19,7,0,6,317,121,166.842,312,120,164.211,5,18,0.263158,229.857,511.739,"NO_BUG"
"101",33,4,0,4,397,54,120.303,280,53,848.485,117,53,354.545,164.714,426.312,"NO_BUG"
"102",49,4,0,9,630,89,128.571,197,43,402.041,433,89,883.673,224.143,62.839,"NO_BUG"
"103",121,8,0,10,1517,223,125.372,1385,237,114.463,132,39,109.091,367,130.518,"NO_BUG"
"104",5,1,0,2,26,11,5.2,10,4,2,16,7,3.2,103.286,51.945,"NO_BUG"
"105",38,13,0,7,453,172,119.211,269,172,707.895,184,77,484.211,333.143,699.451,"NO_BUG"
"106",49,4,0,7,497,97,101.429,583,97,11.898,-86,19,-17.551,367,518.896,"BUG"
"107",15,2,0,7,86,17,573.333,52,11,346.667,34,15,226.667,221,463.405,"NO_BUG"
"108",111,21,0,9,5118,788,461.081,5065,788,456.306,53,279,0.477477,367,809.683,"NO_BUG"
"109",21,4,0,7,52,15,247.619,227,82,108.095,-175,2,-833.333,236,274.478,"NO_BUG"
"110",44,4,0,8,286,82,6.5,252,82,572.727,34,21,0.772727,367,627.033,"NO_BUG"
"111",36,6,0,7,597,165,165.833,87,12,241.667,510,165,141.667,239.571,135.219,"NO_BUG"
"112",30,3,0,6,929,78,309.667,902,78,300.667,27,16,0.9,367,301.708,"NO_BUG"
"113",18,4,0,4,599,151,332.778,51,24,283.333,548,151,304.444,169.857,731.803,"BUG"
"114",19,5,0,7,240,46,126.316,215,44,113.158,25,10,131.579,234.571,217.625,"NO_BUG"
"115",26,6,0,7,207,50,796.154,164,50,630.769,43,14,165.385,367,104.823,"NO_BUG"
"116",38,13,0,7,484,172,127.368,296,172,778.947,188,73,494.737,333.143,720.003,"NO_BUG"
"117",45,6,0,8,1727,444,383.778,722,107,160.444,1005,430,223.333,229,255.065,"NO_BUG"
"118",9,5,0,3,234,103,26,26,15,288.889,208,103,231.111,228.857,155.336,"NO_BUG"
"119",72,11,0,7,873,188,12.125,818,188,113.611,55,14,0.763889,367,101.333,"NO_BUG"
"120",1,0,0,1,0,0,0,0,0,0,0,0,0,172.714,0,"NO_BUG"
"121",35,6,0,6,177,54,505.714,201,54,574.286,-24,5,-0.685714,367,574.762,"NO_BUG"
"122",27,4,0,8,317,98,117.407,91,35,337.037,226,63,837.037,248.571,586.223,"NO_BUG"
"123",17,4,0,5,66,23,388.235,41,17,241.176,25,22,147.059,367,118.11,"NO_BUG"
"124",16,3,0,4,79,27,49.375,81,27,50.625,-2,6,-0.125,367,74.094,"NO_BUG"
"125",3,1,0,2,3,2,1,3,2,1,0,0,0,498.571,406.667,"NO_BUG"
"126",34,5,0,7,553,184,162.647,514,184,151.176,39,25,114.706,367,785.451,"NO_BUG"
"127",107,10,0,9,1707,139,159.533,863,70,806.542,844,119,788.785,248.571,940.384,"BUG"
"128",22,6,0,4,192,109,872.727,185,109,840.909,7,5,0.318182,367,58.026,"NO_BUG"
"129",2,2,0,1,2,2,1,3,3,1.5,-1,0,-0.5,578.571,0,"NO_BUG"
"130",34,12,0,7,316,122,929.412,183,122,538.235,133,59,391.176,333.143,703.734,"NO_BUG"
"131",35,7,0,7,215,50,614.286,148,46,422.857,67,41,191.429,281.143,350.671,"BUG"
"132",28,2,0,7,981,334,350.357,1039,334,371.071,-58,12,-207.143,367,59.3,"NO_BUG"
"133",8,2,0,2,132,62,16.5,104,50,13,28,12,3.5,105,817.056,"BUG"
"134",38,6,0,5,239,58,628.947,226,58,594.737,13,9,0.342105,367,672.791,"BUG"
"135",116,9,0,8,1922,368,16.569,1691,368,145.776,231,29,199.138,367,760.182,"NO_BUG"
"136",1,0,0,1,0,0,0,0,0,0,0,0,0,122.857,0,"NO_BUG"
"137",58,14,0,8,673,206,116.034,476,206,82.069,197,49,339.655,333.143,652.539,"NO_BUG"
"138",76,6,0,8,1158,300,152.368,1252,370,164.737,-94,23,-123.684,367,661.541,"NO_BUG"
"139",167,8,0,11,2144,515,128.383,1636,515,979.641,508,47,304.192,329,770.235,"NO_BUG"
"140",27,5,0,5,629,146,232.963,80,12,296.296,549,146,203.333,226,316.489,"NO_BUG"
"141",29,5,0,4,280,93,965.517,256,93,882.759,24,25,0.827586,367,344.097,"NO_BUG"
"142",90,8,0,8,4337,329,481.889,4198,329,466.444,139,101,154.444,367,365.847,"BUG"
"143",38,13,0,7,493,173,129.737,285,173,7.5,208,75,547.368,333.143,732.634,"NO_BUG"
"144",21,5,0,5,147,54,7,139,54,661.905,8,31,0.380952,367,561.244,"NO_BUG"
"145",82,4,0,7,1665,441,203.049,1510,441,184.146,155,135,189.024,367,710.099,"NO_BUG"
"146",80,10,0,8,620,91,7.75,506,91,6.325,114,15,1.425,367,106.514,"NO_BUG"
"147",4,1,0,2,11,8,2.75,11,8,2.75,0,0,0,877.143,835.065,"NO_BUG"
"148",1,0,0,1,0,0,0,0,0,0,0,0,0,29,0,"NO_BUG"
"149",33,2,0,5,798,141,241.818,730,127,221.212,68,72,206.061,367,112.254,"NO_BUG"
"150",47,7,0,9,502,140,106.809,300,140,638.298,202,71,429.787,367,154.785,"NO_BUG"
"151",28,4,0,5,104,44,371.429,103,44,367.857,1,6,0.0357143,367,590.316,"NO_BUG"
"152",1,0,0,1,0,0,0,0,0,0,0,0,0,357.143,0,"NO_BUG"
"153",87,19,0,7,3123,378,358.966,2127,378,244.483,996,216,114.483,363.857,109.912,"BUG"
"154",7,3,0,4,19,7,271.429,13,5,185.714,6,6,0.857143,191.571,956.842,"NO_BUG"
"155",35,4,0,8,219,110,625.714,49,7,1.4,170,106,485.714,243.857,141.279,"BUG"
"156",84,8,0,6,857,102,102.024,680,102,809.524,177,59,210.714,367,122.828,"BUG"
"157",8,3,0,3,28,7,3.5,18,5,2.25,10,6,1.25,175,341.888,"NO_BUG"
"158",17,4,0,4,68,23,4,68,23,4,0,6,0,367,616.723,"NO_BUG"
"159",41,6,0,7,337,105,821.951,316,105,770.732,21,15,0.512195,367,802.128,"NO_BUG"
"160",37,5,0,5,1295,285,35,1325,285,358.108,-30,43,-0.810811,367,632.596,"NO_BUG"
"161",135,24,0,9,5002,649,370.519,4154,634,307.704,848,269,628.148,288.143,967.068,"NO_BUG"
"162",51,6,0,5,809,159,158.627,805,159,157.843,4,13,0.0784314,367,44.356,"NO_BUG"
"163",381,27,0,9,19905,1343,522.441,16702,1343,438.373,3203,240,840.682,367,768.359,"BUG"
"164",85,9,0,8,2035,315,239.412,1862,315,219.059,173,55,203.529,367,805.213,"BUG"
"165",42,14,0,7,365,126,869.048,218,126,519.048,147,60,3.5,333.143,735.362,"NO_BUG"
"166",34,10,0,8,1053,319,309.706,473,70,139.118,580,249,170.588,220.143,269.399,"NO_BUG"
"167",12,4,0,5,58,31,483.333,52,31,433.333,6,5,0.5,329,402.143,"NO_BUG"
"168",3,0,0,1,9,7,3,35,23,116.667,-26,0,-866.667,16,173.016,"NO_BUG"
"169",5,2,0,2,22,10,4.4,28,17,5.6,-6,10,-1.2,117,555.325,"NO_BUG"
"170",14,4,0,5,129,87,921.429,156,87,111.429,-27,5,-192.857,331.857,446.523,"NO_BUG"
"171",397,96,1,10,22934,2078,577.683,19199,2001,483.602,3735,630,940.806,367,176.29,"BUG"
"172",4,2,0,3,21,19,5.25,15,13,3.75,6,6,1.5,103.143,692.925,"NO_BUG"
"173",7,4,0,3,146,69,208.571,8,4,114.286,138,69,197.143,222.857,105.264,"NO_BUG"
"174",7,3,0,3,9,5,128.571,9,5,128.571,0,0,0,236.143,636.984,"NO_BUG"
"175",21,4,0,5,65,16,309.524,77,21,366.667,-12,1,-0.571429,288.857,360.571,"NO_BUG"
"176",112,11,0,7,1709,500,152.589,1953,593,174.375,-244,44,-217.857,367,611.051,"BUG"
"177",71,5,0,10,979,202,137.887,716,210,100.845,263,50,370.423,367,132.269,"BUG"
"178",19,2,0,5,201,39,105.789,99,42,521.053,102,33,536.842,224,501.599,"NO_BUG"
"179",28,4,0,5,139,53,496.429,136,53,485.714,3,6,0.107143,367,537.605,"NO_BUG"
"180",12,5,0,4,56,27,466.667,45,27,3.75,11,10,0.916667,334.714,468.112,"NO_BUG"
"181",16,5,0,4,115,55,71.875,119,55,74.375,-4,6,-0.25,367,512.435,"NO_BUG"
"182",21,2,0,6,246,104,117.143,229,104,109.048,17,12,0.809524,367,552.096,"NO_BUG"
"183",35,6,0,5,386,100,110.286,214,100,611.429,172,37,491.429,227.571,925.426,"BUG"
"184",73,9,0,7,2135,604,292.466,2223,604,304.521,-88,22,-120.548,367,734.238,"BUG"
"185",33,5,0,4,617,331,18.697,324,129,981.818,293,202,887.879,140.143,484.719,"NO_BUG"
"186",30,9,0,7,198,77,6.6,115,77,383.333,83,36,276.667,333.143,723.867,"NO_BUG"
"187",9,5,0,4,12,4,133.333,11,4,122.222,1,1,0.111111,224.857,769.405,"NO_BUG"
"188",26,5,0,4,153,47,588.462,139,47,534.615,14,15,0.538462,367,653.119,"NO_BUG"
"189",183,30,0,9,2680,542,146.448,1779,542,972.131,901,84,49.235,367,108.119,"BUG"
"190",3,1,0,3,5,4,166.667,5,4,166.667,0,0,0,177.143,345.714,"NO_BUG"
"191",8,4,0,4,155,76,19.375,19,11,2.375,136,76,17,223.571,10.482,"NO_BUG"
"192",11,4,0,3,234,205,212.727,29,9,263.636,205,205,186.364,322.714,695.672,"BUG"
"193",44,6,0,6,328,72,745.455,277,72,629.545,51,34,115.909,367,68.76,"NO_BUG"
"194",140,26,1,10,7441,594,53.15,6989,594,499.214,452,111,322.857,367,556.267,"BUG"
"195",72,4,0,7,3216,448,446.667,3112,448,432.222,104,52,144.444,367,109.796,"BUG"
"196",35,7,0,6,205,78,585.714,214,78,611.429,-9,6,-0.257143,367,635.052,"NO_BUG"
"197",21,6,0,5,138,55,657.143,106,37,504.762,32,18,152.381,281.143,485.166,"NO_BUG"
"198",13,4,0,5,85,60,653.846,85,65,653.846,0,3,0,270.143,133.121,"NO_BUG"
"199",7,3,0,1,122,35,174.286,44,17,628.571,78,30,111.429,914.286,179.742,"NO_BUG"
"200",66,16,0,8,1809,310,274.091,1676,310,253.939,133,87,201.515,367,97.146,"NO_BUG"
"201",6,1,0,1,63,33,10.5,87,32,14.5,-24,1,-4,169.571,785.714,"NO_BUG"
"202",14,4,0,5,59,12,421.429,70,19,5,-11,4,-0.785714,322.714,690.678,"NO_BUG"
"203",53,9,0,7,420,133,792.453,382,133,720.755,38,19,0.716981,367,880.983,"NO_BUG"
"204",24,8,0,6,1029,316,42.875,448,159,186.667,581,290,242.083,220.143,151.756,"NO_BUG"
"205",45,15,0,7,625,230,138.889,368,230,817.778,257,104,571.111,333.143,71.442,"NO_BUG"
"206",43,7,0,8,888,445,206.512,427,216,993.023,461,229,107.209,262,102.345,"NO_BUG"
"207",112,26,0,10,5361,1562,478.661,2652,1562,236.786,2709,746,241.875,333.143,72.771,"NO_BUG"
"208",13,3,0,3,130,45,10,21,14,161.538,109,31,838.461,169.857,895.549,"BUG"
"209",78,8,0,7,1025,277,13.141,1060,277,135.897,-35,64,-0.448718,367,655.231,"NO_BUG"
"210",49,13,0,8,785,308,160.204,525,308,107.143,260,61,530.612,333.143,677.934,"BUG"
"211",9,3,0,4,149,68,165.556,13,4,144.444,136,68,151.111,220.857,939.981,"NO_BUG"
"212",18,4,0,4,246,75,136.667,254,75,141.111,-8,9,-0.444444,367,538.084,"NO_BUG"
"213",65,9,0,5,1612,232,24.8,1119,217,172.154,493,231,758.461,178.143,499.435,"BUG"
"214",31,5,0,4,157,48,506.452,182,48,587.097,-25,6,-0.806452,367,793.467,"NO_BUG"
"215",7,6,0,1,9,4,128.571,8,4,114.286,1,1,0.142857,168.857,859.841,"NO_BUG"
"216",35,6,0,6,154,42,4.4,123,42,351.429,31,18,0.885714,367,841.169,"NO_BUG"
"217",11,5,0,6,250,134,227.273,168,134,152.727,82,64,745.455,332,218.657,"NO_BUG"
"218",150,10,0,10,4705,765,313.667,4440,746,29.6,265,43,176.667,367,155.141,"BUG"
"219",140,8,0,8,2114,539,15.1,2023,539,14.45,91,206,0.65,367,727.247,"NO_BUG"
"220",23,3,0,7,124,39,53.913,123,39,534.783,1,5,0.0434783,367,806.912,"NO_BUG"
"221",1,0,0,1,0,0,0,0,0,0,0,0,0,147.143,0,"NO_BUG"
"222",3,3,0,1,2,1,0.666667,2,1,0.666667,0,0,0,168.857,56,"NO_BUG"
"223",30,3,0,5,578,138,192.667,576,138,19.2,2,10,0.0666667,367,76.868,"NO_BUG"
"224",36,4,0,5,833,498,231.389,822,498,228.333,11,30,0.305556,367,775.493,"NO_BUG"
"225",33,8,0,7,276,150,836.364,364,150,110.303,-88,15,-266.667,343,449.234,"BUG"
"226",7,3,0,4,22,12,314.286,11,4,157.143,11,11,157.143,193.857,83.013,"NO_BUG"
"227",31,5,0,8,216,41,696.774,171,41,551.613,45,36,145.161,367,146.976,"NO_BUG"
"228",22,6,0,5,368,85,167.273,101,31,459.091,267,65,121.364,205.857,592.092,"NO_BUG"
"229",17,6,0,5,91,42,535.294,104,42,611.765,-13,4,-0.764706,367,720.581,"NO_BUG"
"230",106,35,0,11,4597,1604,433.679,2447,849,230.849,2150,1604,20.283,225.286,170.975,"BUG"
"231",4,3,0,2,6,4,1.5,6,4,1.5,0,0,0,184.571,317.143,"NO_BUG"
"232",25,5,0,6,443,128,17.72,511,128,20.44,-68,3,-2.72,367,587.591,"NO_BUG"
"233",9,4,0,5,31,11,344.444,31,11,344.444,0,0,0,220.143,165.392,"NO_BUG"
"234",52,5,0,6,1715,296,329.808,1882,323,361.923,-167,22,-321.154,367,656.336,"NO_BUG"
"235",58,6,0,10,317,78,546.552,334,78,575.862,-17,10,-0.293103,367,926.327,"BUG"
"236",38,13,0,7,373,119,981.579,276,119,726.316,97,65,255.263,333.143,688.728,"NO_BUG"
"237",39,5,0,8,449,104,115.128,403,104,103.333,46,16,117.949,329,418.762,"NO_BUG"
"238",30,5,0,4,387,121,12.9,295,121,983.333,92,71,306.667,367,101.296,"NO_BUG"
"239",13,4,0,1,337,78,259.231,167,45,128.462,170,50,130.769,914.286,199.788,"BUG"
"240",9,5,0,4,14,4,155.556,13,4,144.444,1,1,0.111111,224.857,677.959,"NO_BUG"
"241",143,8,0,10,7111,1444,497.273,7724,1444,54.014,-613,217,-428.671,367,741.449,"BUG"
"242",156,12,0,11,3401,580,218.013,2342,588,150.128,1059,222,678.846,367,152.001,"BUG"
"243",40,7,0,7,624,92,15.6,271,89,6.775,353,74,8.825,333.143,963.013,"NO_BUG"
"244",36,13,0,7,614,220,170.556,384,220,106.667,230,86,638.889,333.143,717.064,"NO_BUG"
"245",54,5,0,8,621,91,11.5,459,91,8.5,162,48,3,367,116.731,"NO_BUG"
"246",90,7,0,7,2398,590,266.444,2072,590,230.222,326,91,362.222,367,697.218,"NO_BUG"
"247",131,20,0,7,2700,580,206.107,2515,580,191.985,185,42,141.221,367,791.748,"BUG"
"248",43,13,0,8,557,190,129.535,315,190,732.558,242,100,562.791,333.143,766.576,"NO_BUG"
"249",27,6,0,5,287,81,106.296,280,81,103.704,7,7,0.259259,367,885.903,"NO_BUG"
"250",60,8,0,7,653,163,108.833,626,163,104.333,27,17,0.45,367,74.995,"NO_BUG"
"251",43,3,0,6,392,71,911.628,318,71,739.535,74,52,172.093,367,612.591,"NO_BUG"
"252",59,7,0,9,588,205,99.661,594,205,100.678,-6,21,-0.101695,367,790.481,"BUG"
"253",11,1,0,3,194,141,176.364,78,33,709.091,116,121,105.455,89,610.604,"NO_BUG"
"254",31,8,0,7,508,87,163.871,85,9,274.194,423,87,136.452,229.714,775.506,"NO_BUG"
"255",120,31,0,12,3335,544,277.917,2024,588,168.667,1311,125,10.925,333.143,131.366,"NO_BUG"
"256",38,13,0,7,359,135,944.737,216,135,568.421,143,58,376.316,333.143,714.314,"NO_BUG"
"257",38,3,0,9,161,27,423.684,138,21,363.158,23,14,0.605263,248.143,67.559,"NO_BUG"
"258",81,7,0,9,796,143,982.716,565,143,697.531,231,47,285.185,367,132.518,"NO_BUG"
"259",119,55,0,9,8425,2042,707.983,2635,594,221.429,5790,2013,486.555,246.571,303.109,"BUG"
"260",37,7,0,8,120,16,324.324,101,29,272.973,19,9,0.513513,239.143,61.5,"NO_BUG"
"261",42,6,0,7,1347,618,320.714,1432,637,340.952,-85,5,-202.381,367,356.825,"NO_BUG"
"262",7,2,0,3,64,25,914.286,49,26,7,15,8,214.286,184.571,24.154,"NO_BUG"
"263",11,6,0,5,39,8,354.545,14,5,127.273,25,7,227.273,288.143,107.689,"NO_BUG"
"264",244,19,0,8,10254,1386,420.246,5777,1386,236.762,4477,564,183.484,367,132.341,"BUG"
"265",29,4,0,8,172,63,593.103,146,75,503.448,26,7,0.896552,243,227.566,"BUG"
"266",34,12,0,7,433,238,127.353,303,238,891.176,130,60,382.353,333.143,552.118,"NO_BUG"
"267",37,6,0,6,252,66,681.081,258,66,697.297,-6,12,-0.162162,367,455.635,"NO_BUG"
"268",20,6,0,4,187,89,9.35,179,89,8.95,8,6,0.4,367,476.921,"NO_BUG"
"269",38,6,0,7,1976,971,52,2022,971,532.105,-46,10,-121.053,367,351.962,"NO_BUG"
"270",2,0,0,1,11,11,5.5,1,1,0.5,10,10,5,667.143,0.714286,"NO_BUG"
